'NIM','Kode MK','Nilai Huruf','Kelas','Semester'
'F1B113014','TPB11211','K','NULL',2015
'F1B114026','TPB11211','E','NULL',2015
'F1B115001','TPB11211','C+','NULL',2015
'F1B115002','TPB11211','C','NULL',2015
'F1B115003','TPB11211','B','NULL',2015
'F1B115004','TPB11211','D+','NULL',2015
'F1B115005','TPB11211','E','NULL',2015
'F1B115006','TPB11211','B+','NULL',2015
'F1B115007','TPB11211','E','NULL',2015
'F1B115008','TPB11211','A','NULL',2015
'F1B115009','TPB11211','A','NULL',2015
'F1B115010','TPB11211','E','NULL',2015
'F1B115011','TPB11211','E','NULL',2015
'F1B115012','TPB11211','E','NULL',2015
'F1B115013','TPB11211','B+','NULL',2015
'F1B115014','TPB11211','B','NULL',2015
'F1B115015','TPB11211','C+','NULL',2015
'F1B115016','TPB11211','C+','NULL',2015
'F1B115017','TPB11211','B+','NULL',2015
'F1B115018','TPB11211','C+','NULL',2015
'F1B115019','TPB11211','B+','NULL',2015
'F1B115020','TPB11211','D+','NULL',2015
'F1B115021','TPB11211','E','NULL',2015
'F1B115022','TPB11211','A','NULL',2015
'F1B115023','TPB11211','C','NULL',2015
'F1B115024','TPB11211','D+','NULL',2015
'F1B115025','TPB11211','C','NULL',2015
'F1B115026','TPB11211','B','NULL',2015
'F1B115027','TPB11211','C+','NULL',2015
'F1B115028','TPB11211','D','NULL',2015
'F1B115029','TPB11211','B','NULL',2015
'F1B115030','TPB11211','D+','NULL',2015
'F1B115031','TPB11211','D','NULL',2015
'F1B115032','TPB11211','B','NULL',2015
'F1B115033','TPB11211','E','NULL',2015
'F1B115034','TPB11211','B','NULL',2015
'F1B115035','TPB11211','B','NULL',2015
'F1B115036','TPB11211','C','NULL',2015
'F1B115037','TPB11211','C+','NULL',2015
'F1B115038','TPB11211','B+','NULL',2015
'F1B115039','TPB11211','D','NULL',2015
'F1B115040','TPB11211','E','NULL',2015
'F1B115041','TPB11211','E','NULL',2015
'F1B115042','TPB11211','D+','NULL',2015
'F1B115043','TPB11211','E','NULL',2015
'F1B115044','TPB11211','K','NULL',2015
'F1B113014','TPB12301','K','NULL',2015
'F1B113027','TPB12301','D+','NULL',2015
'F1B113031','TPB12301','C+','NULL',2015
'F1B114026','TPB12301','E','NULL',2015
'F1B115001','TPB12301','D','NULL',2015
'F1B115002','TPB12301','E','NULL',2015
'F1B115003','TPB12301','E','NULL',2015
'F1B115004','TPB12301','D','NULL',2015
'F1B115005','TPB12301','E','NULL',2015
'F1B115006','TPB12301','D','NULL',2015
'F1B115007','TPB12301','E','NULL',2015
'F1B115008','TPB12301','A','NULL',2015
'F1B115009','TPB12301','C','NULL',2015
'F1B115010','TPB12301','E','NULL',2015
'F1B115011','TPB12301','E','NULL',2015
'F1B115012','TPB12301','E','NULL',2015
'F1B115013','TPB12301','D+','NULL',2015
'F1B115014','TPB12301','E','NULL',2015
'F1B115015','TPB12301','E','NULL',2015
'F1B115016','TPB12301','D+','NULL',2015
'F1B115017','TPB12301','D+','NULL',2015
'F1B115018','TPB12301','C+','NULL',2015
'F1B115019','TPB12301','B+','NULL',2015
'F1B115020','TPB12301','D','NULL',2015
'F1B115021','TPB12301','E','NULL',2015
'F1B115022','TPB12301','A','NULL',2015
'F1B115023','TPB12301','K','NULL',2015
'F1B115024','TPB12301','E','NULL',2015
'F1B115025','TPB12301','B','NULL',2015
'F1B115026','TPB12301','D','NULL',2015
'F1B115027','TPB12301','E','NULL',2015
'F1B115028','TPB12301','E','NULL',2015
'F1B115029','TPB12301','C','NULL',2015
'F1B115030','TPB12301','D+','NULL',2015
'F1B115031','TPB12301','E','NULL',2015
'F1B115032','TPB12301','E','NULL',2015
'F1B115033','TPB12301','E','NULL',2015
'F1B115034','TPB12301','D','NULL',2015
'F1B115035','TPB12301','C+','NULL',2015
'F1B115036','TPB12301','C+','NULL',2015
'F1B115037','TPB12301','D+','NULL',2015
'F1B115038','TPB12301','C+','NULL',2015
'F1B115039','TPB12301','E','NULL',2015
'F1B115040','TPB12301','E','NULL',2015
'F1B115041','TPB12301','E','NULL',2015
'F1B115042','TPB12301','E','NULL',2015
'F1B115043','TPB12301','K','NULL',2015
'F1B115044','TPB12301','K','NULL',2015
'F1B112003','TPB14212','C','NULL',2015
'F1B112004','TPB14212','D+','NULL',2015
'F1B112011','TPB14212','D','NULL',2015
'F1B112027','TPB14212','D+','NULL',2015
'F1B112042','TPB14212','C','NULL',2015
'F1B112051','TPB14212','D+','NULL',2015
'F1B113015','TPB14212','D','NULL',2015
'F1B113016','TPB14212','D+','NULL',2015
'F1B113021','TPB14212','D+','NULL',2015
'F1B113028','TPB14212','D','NULL',2015
'F1B113031','TPB14212','C+','NULL',2015
'F1B113032','TPB14212','D+','NULL',2015
'F1B113034','TPB14212','D','NULL',2015
'F1B114001','TPB14212','C','NULL',2015
'F1B114003','TPB14212','C','NULL',2015
'F1B114004','TPB14212','D+','NULL',2015
'F1B114007','TPB14212','D+','NULL',2015
'F1B114016','TPB14212','C','NULL',2015
'F1B114018','TPB14212','C','NULL',2015
'F1B114022','TPB14212','D+','NULL',2015
'F1B114027','TPB14212','D+','NULL',2015
'F1B114030','TPB14212','C','NULL',2015
