'NIM','Kode MK','Nilai Huruf','Kelas','Semester'
'F1B116015','TPBU07202','K','A','2017/2018'
'F1B116016','TPBU07202','B','B','2017/2018'
'F1B116020','TPBU07202','B+','B','2017/2018'
'F1B117001','TPBU07202','C+','A','2017/2018'
'F1B117002','TPBU07202','B','B','2017/2018'
'F1B117003','TPBU07202','B','A','2017/2018'
'F1B117004','TPBU07202','B+','B','2017/2018'
'F1B117005','TPBU07202','B','A','2017/2018'
'F1B117006','TPBU07202','B','B','2017/2018'
'F1B117007','TPBU07202','B','A','2017/2018'
'F1B117008','TPBU07202','B+','B','2017/2018'
'F1B117010','TPBU07202','B+','B','2017/2018'
'F1B117011','TPBU07202','C+','A','2017/2018'
'F1B117012','TPBU07202','C+','B','2017/2018'
'F1B117013','TPBU07202','C','A','2017/2018'
'F1B117014','TPBU07202','K','B','2017/2018'
'F1B117015','TPBU07202','C+','A','2017/2018'
'F1B117016','TPBU07202','A','B','2017/2018'
'F1B117017','TPBU07202','C','A','2017/2018'
'F1B117018','TPBU07202','B','B','2017/2018'
'F1B117019','TPBU07202','B','A','2017/2018'
'F1B117020','TPBU07202','B','B','2017/2018'
'F1B117021','TPBU07202','C','A','2017/2018'
'F1B117022','TPBU07202','A','B','2017/2018'
'F1B117023','TPBU07202','C+','A','2017/2018'
'F1B117024','TPBU07202','A','B','2017/2018'
'F1B117025','TPBU07202','B','A','2017/2018'
'F1B117026','TPBU07202','A','B','2017/2018'
'F1B117027','TPBU07202','C','A','2017/2018'
'F1B117028','TPBU07202','B+','B','2017/2018'
'F1B117029','TPBU07202','B','A','2017/2018'
'F1B117030','TPBU07202','B+','B','2017/2018'
'F1B117031','TPBU07202','E','A','2017/2018'
'F1B117032','TPBU07202','A','B','2017/2018'
'F1B117033','TPBU07202','B','A','2017/2018'
'F1B117034','TPBU07202','K','B','2017/2018'
'F1B117035','TPBU07202','B','A','2017/2018'
'F1B117036','TPBU07202','B+','B','2017/2018'
'F1B117037','TPBU07202','E','A','2017/2018'
'F1B117038','TPBU07202','B+','B','2017/2018'
'F1B117039','TPBU07202','C+','A','2017/2018'
'F1B117040','TPBU07202','B+','B','2017/2018'
'F1B117041','TPBU07202','B','A','2017/2018'
'F1B111059','TPBU03203','B+','A','2017/2018'
'F1B114001','TPBU03203','B+','A','2017/2018'
'F1B114003','TPBU03203','B','A','2017/2018'
'F1B114004','TPBU03203','B','B','2017/2018'
'F1B114006','TPBU03203','B','B','2017/2018'
'F1B114007','TPBU03203','D','A','2017/2018'
'F1B114009','TPBU03203','C+','A','2017/2018'
'F1B114010','TPBU03203','B','B','2017/2018'
'F1B114011','TPBU03203','C+','A','2017/2018'
'F1B114012','TPBU03203','B','B','2017/2018'
'F1B114022','TPBU03203','C+','B','2017/2018'
'F1B114027','TPBU03203','B','A','2017/2018'
'F1B117001','TPBU03203','B','A','2017/2018'
'F1B117002','TPBU03203','C+','B','2017/2018'
'F1B117003','TPBU03203','B+','A','2017/2018'
'F1B117004','TPBU03203','B','B','2017/2018'
'F1B117005','TPBU03203','C+','A','2017/2018'
'F1B117006','TPBU03203','B','B','2017/2018'
'F1B117007','TPBU03203','C','A','2017/2018'
'F1B117008','TPBU03203','B','B','2017/2018'
'F1B117010','TPBU03203','B','B','2017/2018'
'F1B117011','TPBU03203','D','A','2017/2018'
'F1B117012','TPBU03203','B','B','2017/2018'
'F1B117013','TPBU03203','B','A','2017/2018'
'F1B117014','TPBU03203','K','B','2017/2018'
'F1B117015','TPBU03203','C','A','2017/2018'
'F1B117016','TPBU03203','C+','B','2017/2018'
'F1B117017','TPBU03203','C','A','2017/2018'
'F1B117018','TPBU03203','C+','B','2017/2018'
'F1B117019','TPBU03203','D','A','2017/2018'
'F1B117020','TPBU03203','C+','B','2017/2018'
'F1B117021','TPBU03203','D','A','2017/2018'
'F1B117022','TPBU03203','B','B','2017/2018'
'F1B117023','TPBU03203','C+','A','2017/2018'
'F1B117024','TPBU03203','C+','B','2017/2018'
'F1B117025','TPBU03203','A','A','2017/2018'
'F1B117026','TPBU03203','C','B','2017/2018'
'F1B117027','TPBU03203','C','A','2017/2018'
'F1B117028','TPBU03203','B','B','2017/2018'
'F1B117029','TPBU03203','B','A','2017/2018'
'F1B117030','TPBU03203','C+','B','2017/2018'
'F1B117031','TPBU03203','D','A','2017/2018'
'F1B117032','TPBU03203','C+','B','2017/2018'
'F1B117033','TPBU03203','D','A','2017/2018'
'F1B117034','TPBU03203','K','B','2017/2018'
'F1B117035','TPBU03203','B+','A','2017/2018'
'F1B117036','TPBU03203','B','B','2017/2018'
'F1B117037','TPBU03203','D','A','2017/2018'
'F1B117038','TPBU03203','C+','B','2017/2018'
'F1B117039','TPBU03203','B','A','2017/2018'
'F1B117040','TPBU03203','B','B','2017/2018'
'F1B117041','TPBU03203','B','A','2017/2018'
'F1B117001','TPBU06202','B','A','2017/2018'
'F1B117002','TPBU06202','C+','B','2017/2018'
'F1B117003','TPBU06202','B','A','2017/2018'
'F1B117004','TPBU06202','C+','B','2017/2018'
'F1B117005','TPBU06202','B','A','2017/2018'
'F1B117006','TPBU06202','C','B','2017/2018'
'F1B117007','TPBU06202','A','A','2017/2018'
'F1B117008','TPBU06202','C','B','2017/2018'
'F1B117010','TPBU06202','D+','B','2017/2018'
'F1B117011','TPBU06202','B','A','2017/2018'
'F1B117012','TPBU06202','C','B','2017/2018'
'F1B117013','TPBU06202','C','A','2017/2018'
'F1B117014','TPBU06202','K','B','2017/2018'
'F1B117015','TPBU06202','B+','A','2017/2018'
'F1B117016','TPBU06202','C+','B','2017/2018'
'F1B117017','TPBU06202','C+','A','2017/2018'
'F1B117018','TPBU06202','B','B','2017/2018'
'F1B117019','TPBU06202','C+','A','2017/2018'
'F1B117020','TPBU06202','A','B','2017/2018'
'F1B117021','TPBU06202','C+','A','2017/2018'
'F1B117022','TPBU06202','C+','B','2017/2018'
'F1B117023','TPBU06202','B','A','2017/2018'
'F1B117024','TPBU06202','B','B','2017/2018'
'F1B117025','TPBU06202','B','A','2017/2018'
'F1B117026','TPBU06202','K','B','2017/2018'
'F1B117027','TPBU06202','A','A','2017/2018'
'F1B117028','TPBU06202','C','B','2017/2018'
'F1B117029','TPBU06202','B','A','2017/2018'
'F1B117030','TPBU06202','B+','B','2017/2018'
'F1B117031','TPBU06202','E','A','2017/2018'
'F1B117032','TPBU06202','C','B','2017/2018'
'F1B117033','TPBU06202','B','A','2017/2018'
'F1B117034','TPBU06202','K','B','2017/2018'
'F1B117035','TPBU06202','B','A','2017/2018'
'F1B117036','TPBU06202','C+','B','2017/2018'
'F1B117037','TPBU06202','C+','A','2017/2018'
'F1B117038','TPBU06202','C','B','2017/2018'
'F1B117039','TPBU06202','B+','A','2017/2018'
'F1B117040','TPBU06202','B','B','2017/2018'
'F1B117041','TPBU06202','B','A','2017/2018'
'F1B111030','TPBU08202','C+','A','2017/2018'
'F1B113013','TPBU08202','K','A','2017/2018'
'F1B114003','TPBU08202','B+','A','2017/2018'
'F1B114016','TPBU08202','B+','B','2017/2018'
'F1B115002','TPBU08202','A','B','2017/2018'
